player_name,country,points,position,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,gender,total_matches,total_wins,total_games_won,total_games_lost,tournaments_played,years_active,avg_round,max_round,matches_3set,avg_dominance,win_rate,game_diff,clutch_rate,wr_early,wr_mid,wr_late,wr_major,wr_p1,wr_p2,unique_partners,partner_loyalty,trajectory_slope,pts_growth,pos_improvement,gender_enc,country_enc,total_social,log_social,log_points,cluster,cluster_gmm,cluster_hier,segment
Joao Guimaraes,POR,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Adria Lombera,ESP,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Johannes Roscic,GER,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Ilhan Sarp A?abigÃŒn,TUR,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,97,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Samat Zhexenov,KAZ,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Aimar Benitez Bernet,ESP,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Axel Ezequiel Cardozo,ARG,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Mateo Giribaldi,ARG,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Alain Sassen,BEL,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Lucas Duffort,BRA,2,2428,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
